label,sentence
departuretime,"hey bot, when does the next bus starts at garching?"
departuretime,when comes the next train
departuretime,next bus from quiddestraße?
departuretime,when does the next bus leaves at romanplatz?
departuretime,show me the next bus from garching!
departuretime,show me the next bus from michaelibad.
departuretime,when can i get a bus at mariahilfplatz?
departuretime,when does the next train come at garching forschungszentrum
departuretime,when does the bus to röblingweg starts?
departuretime,when does the next bus leaves at garching?
departuretime,when does the next train leaves?
departuretime,when is the next bus in garching forschungszentrum
departuretime,when does the next subway departes from odeonsplatz?
departuretime,when does the next bus leaves from hauptbahnhof?
departuretime,when does the next bus leave in garching?
departuretime,when does the next bus leaves at garching forschungszentrum?
departuretime,when does the next train leaves from quiddestraße?
departuretime,when does the next train departs from quiddestraße?
departuretime,when is the next train in nordfriedhof?
departuretime,when does the next s-bahn leaves from hauptbahnhof?
departuretime,when is the bus from quiddestraße?
departuretime,when does the next rocket leaves from garching forschungszentrum?
departuretime,when does the next train starts at sendlinger tor?
departuretime,when is the train leaving in garching
departuretime,when is the next train from garching
departuretime,when is the next bus leaving from garching?
departuretime,when does the next train leaves from odeonsplatz?
departuretime,when does the next train leave from garching forschungszentrum
departuretime,when is the next train in nordfriedhof
departuretime,when is adrians next subway leaving at garching forschungszentrum?
departuretime,when does the next tram starts from hauptbahnhof?
departuretime,when is the next u6?
departuretime,when is the next train leaving in garching
departuretime,when is the train leaving in garching?
departuretime,"when the next train in garching,forschungszentrum is leaving?"
departuretime,when is the next train
departuretime,when is the next subway leaving from garching?
departuretime,when is the next train in münchner freiheit?
departuretime,when is the next u6 leaving from garching?
departuretime,when the next train in garching forschungszentrum is leaving?
departuretime,when the next train in garching is leaving?
departuretime,when will the next u-bahn depart from garching forschungszentrum?
findconnection,can you find a bus from quiddestraße to lehel?
findconnection,can you find the shortest way from moosfeld to milbertshofen?
findconnection,can i take a bus from quiddestraße to hauptbahnhof?
findconnection,can you give me a connection from garching to odeonsplatz?
findconnection,can you find a connection from olympiazentrum to lehel at 2 pm?
findconnection,connection from hauptbahnhof to odeonsplatz?
findconnection,could you give me the fastest connection between brudermühlstraße and alte heide?
findconnection,from garching to perlach
findconnection,can you tell me the cheapest way from garching forschungszentrum to quiddestraße?
findconnection,connection from untere straßäcker 21 to kieferngarten
findconnection,how can i get from garching forschungszentrum to odeonsplatz?
findconnection,from garching to studentenstadt
findconnection,how can i get from garching to garching?
findconnection,how can i get from garching forschungszentrum to kurt-eisner-straße?
findconnection,how can i get from garching to münchner freiheit as fast as possible?
findconnection,how can i get from garching to marienplatz
findconnection,how can i get from garching to hauptbahnhof?
findconnection,how can i get from garching to odeonsplatz?
findconnection,how can i get from garching to milbertshofen?
findconnection,how can i get from kurt-eisner-straße to garching?
findconnection,how can i get from garching to sendlinger tor?
findconnection,how can i get from moosach to garching forschungszentrum?
findconnection,how can i get from garchingto garching?
findconnection,"how can i get from garching, forschungszentrum to odeonsplatz?"
findconnection,how can i get from quiddestraße to boltzmannstraße?
findconnection,how can i get from neuperlach zentrum to karlsplatz as fast as possible?
findconnection,how can i get from mossach to garching forschungszentrum?
findconnection,how can i get to boltzmannstraße from quiddestraße?
findconnection,how can i get from olympiazentrum to hauptbahnhof?
findconnection,how can i get to sendlinger tor?
findconnection,how can i get to milbertshofen from garching?
findconnection,how do i get from marienplatz zu garching
findconnection,how can i get to neuperlach süd from garching forschungszentrum?
findconnection,how can i get to quiddestraße?
findconnection,how to get from garching to perlach?
findconnection,i want to travel from garching to odeonsplatz?
findconnection,how do i get from olympia einkaufszentrum to hauptbahnhof?
findconnection,how do i get to untere straussäcker?
findconnection,how to get from bonnerplatz to freimann
findconnection,how to get from untere strassäcker 21 to frötmaning
findconnection,is there a tram from karlsplatz to lehel?
findconnection,how to get from untere strassaecker 21 to frötmaning
findconnection,i need a connection from harras to karl-preis-platz at 8 am.
findconnection,i need to be in garching at 9
findconnection,what is the next connection from garching forschungszentrum to odeonsplatz?
findconnection,"in need to be at hauptbahnhof at 1 pm, can you search a connection from garching forschungszentrum?"
findconnection,is there a bus from odeonsplatz to hauptbahnhof at 3 pm?
findconnection,is there a train from neuperlach zentrum to garching at 3 pm?
findconnection,is there a bus from garching to moosach at around 5?
findconnection,what is the cheapest connection between quiddestraße and hauptbahnhof?
findconnection,what's the cheapest way from neuperlach süd to lehel?
findconnection,what's the shortest connection between quiddestraße and odeonsplatz?
findconnection,what's the shortest way between hauptbahnhof and odeonsplatz?
findconnection,when is the next train from nordfriedhof to garching forschungszentrum
findconnection,when is the next train from untere straßaecker 21 to kieferngarten
findconnection,"when is the next train from untere straßaecker 21, garching to kieferngarten"
findconnection,when is the next train to garching
