label,sentence
find alternative,Alternatives for Google Reader (with Android synchronizing)
find alternative,Bugmenot (registration bypasser) alternative that doesn't suck?
find alternative,Google search engine alternatives
find alternative,Alternatives to Twitter
find alternative,Alternatives to Google Groups with more features?
find alternative,Are there any good Veoh or Youtube alternatives?
find alternative,Mint alternatives for Canada
filter spam,Twitter and Echofon spam
filter spam,Discarding spam mail faster in Gmail
filter spam,Totally Blocking Spam To Gmail Account
filter spam,Correctly Identifying Spam Messages
filter spam,"Does using Gmail's ""Never send it to Spam"" filter mean I can't train their spam filter?"
filter spam,Stopping spam emails in Gmail by pattern
change password,How do I change my password on TV Tropes?
change password,Why can't I change my password and login with Skype?
none,Change subject line in new Gmail compose window
none,Email Google Form daily?
export data,How can I export track.scrobble data from last.fm?
export data,How can I backup my wordpress.com hosted blog?
download video,How do I download a YouTube video?
sync accounts,Google Bookmarks and Chrome Bookmark Sync -- Different?
sync accounts,How can I sync my Yahoo! Calendar with Google Calendar?
sync accounts,How do I sync my RunKeeper workout schedule with Google Calender?
delete account,How do I delete my Experts Exchange account?
delete account,How do I delete my Gmail account?
delete account,How do I delete my LinkedIn account?
delete account,How can I delete my Twitter account?
delete account,How do I delete my Ohloh profile?
delete account,How to disable/delete a Harvest account?
delete account,How can I permanently delete my MySpace account?
