label,sentence
Apply for Loan,I want to buy a house. How to get a loan?
Apply for Loan,I want to get a business loan
Apply for Loan,Get an approval for a study loan
Apply for Loan,Need a loan of 5000 USD for my business
Apply for Loan,How do I get a credit for 10000 dollars for property investment?
Apply for Loan,Can I borrow funds for school fee
Apply for Loan,Help me get a loan advance
Apply for Loan,Financial assistance is required to buy a new house
Apply for Loan,I need money to open a restaurant
Apply for Loan,Get money available on credit for payment of insurance bills
Apply for Loan,Need a loan at lowest interest rate
Apply for Loan,Suggest me a loan with easy pay option
Apply for Loan,I want to get a mortgage on my house 
Apply for Loan,I need credit of 50K. How do I apply for it?
Apply for Loan,I need to borrow 40K for expenses. Can I get loan?
Apply for Loan,Could you grant me an allowance of 1200 USD
Apply for Loan,do you offer loans for veterans
Apply for Loan,I need some aid to set up my business
Apply for Loan,Can you faciltate finances for my wedding/admission/college fees
Apply for Loan,Need some financial assistance
Apply for Loan,I'm looking for a low-rate loan on EMI for 5yrs
Apply for Loan,What kind of loan can i get as a college student?
Transfer Funds,I have to send money to someone
Transfer Funds,Deposit 5000 USD from my account to xyz account
Transfer Funds,Will you send $200 to my alternate account?
Transfer Funds,i want ac no 234 to receive $100 from my account
Transfer Funds,I need to make a payment to my younger brother for a bike purchase
Transfer Funds,Can you move 500USD to my wife's account asap?
Transfer Funds,Would like to wire money to my international account
Transfer Funds,Can 3000 be remitted to my landlord's account?
Transfer Funds,I need to move part of my finances to another account
Transfer Funds,I want to share some money with a separate account
Transfer Funds,Have to send funds to an online site for shopping transaction
Transfer Funds,Can you shift my outstanding balance amount to my new account?
Transfer Funds,I want Transfer of funds from India to Germany
Transfer Funds,Fund the transaction through my account
Transfer Funds,I have to contribute $100 to xyz to clear my dues in the pool lunch.
Transfer Funds,Plz provide fund transfer to AC no 345231
Transfer Funds,Move money from saving acccount to Checking
Transfer Funds,Need u to help me transfer 30 USD frm a/c 32231 to a/c 239482
Transfer Funds,Transfer USD 100 from my account to Bob's account
Transfer Funds,"Hi, I want to pay back my friend $100 for the pub night "
Transfer Funds,Hey!! Need your help to repay a frn's payment on my movie ticket
Pay a Bill,Please make a payment of USD 100 to my Uber account
Pay a Bill,Got to work off my parking fine. Please help. 
Pay a Bill,Clear my dues for the laundry bill
Pay a Bill,Settle my account with the grocery store
Pay a Bill,Clear the outstanding bill for credit card
Pay a Bill,500 is due for groceries payment 
Pay a Bill,I want to make a charity of Rs. 1000
Pay a Bill,I want to close my account at the hotel
Pay a Bill,Clear my debt on mobile purchase
Pay a Bill,Complete my purchase of JBL bluetooth speakers on Amazon 
Pay a Bill,Clear the bill for ebay
Pay a Bill,Recharge my net connection
Pay a Bill,Finish my transaction with Air BnB
Pay a Bill,Process payment for invoice
Pay a Bill,square accounts with my friend for last weekend trip
Pay a Bill,she needs to get her annual leave entitlement
Pay a Bill,The butler expects 200 for this month's service
Pay a Bill,Surcharge for additional services subscription has to be given to the service provider
Pay a Bill,Penalty of Rs 500 has to be given for late submission of fees
View Account Balance,What's my Outstanding account balance?
View Account Balance,How much money is left in my account?
View Account Balance,Want to see my account statement
View Account Balance,What are current savings in my account
View Account Balance,Can I have my bank statement
View Account Balance,Want to review my outstanding bank credit 
View Account Balance,generate my account information
View Account Balance,Can you tell me the opening balance
View Account Balance,I want to know why has my cheque bounced?
View Account Balance,How much money is unused in my ac now?
View Account Balance,What is my account balance?
View Account Balance,Like to know remaining amount in my account
View Account Balance,I think there are some wrong transactions in my account. I need to check the details.
