label,sentence
make update,Upgrade to 12.04 64 bit
make update,How to Upgrade from 11.10 to 12.04 when you've got a problem?
make update,Upgrading from Ubuntu 14.04 to 15.04
make update,Is it worth upgrading from 12.04 LTS to 13.04
make update,Upgrade 12.04 to 12.10 using startup disk
make update,how to upgrade from ubuntu 15.04 to 15.10?
make update,How to upgrade Ubuntu 9.10 to 12.10 via terminal?
make update,How to upgrade Ubuntu 14.04.1 to 14.04.2?
make update,How to upgrade from Ubuntu 10.10 to 11.04?
make update,Update 11.04 to 12.04 with LiveCD
none,How to record my screen?
none,How can I highlight or annotate PDFs?
none,Torrent client for the command-line?
setup printer,How to setup wireless printing from a printer connected via usb on Ubuntu Server 12.10?
setup printer,How to setup HP printer/scanner on ubuntu?
setup printer,How do I setup my HP C4140 printer wirelessly?
setup printer,No matter what I do Ubuntu 15.04 does not recognize HP LaserJet 1020
setup printer,How do I install drivers for the Panasonic MB1900CX All-in-One Printer/Scanner?
setup printer,Install Canon MP560 Ubuntu 15.04
setup printer,How to install a Brother MFC-5890CN network printer?
setup printer,How do I install drivers for a Konica Minolta 200?
setup printer,How can I install a Pantum 2502W laser printer on Ubuntu
setup printer,How To Install Canon LBP2900B printer in 14.04 LTS ? I tried the method for LBP2900 but it didnt work
software recommendation,Any command line calculator for Ubuntu?
software recommendation,Extracting embedded images from a PDF
software recommendation,What to use to quickly cut Audio/Video
software recommendation,Which programs can I use to edit PDF files?
software recommendation,What screenshot tools are available?
software recommendation,Is there a lightweight tool to crop images quickly?
software recommendation,Can you recommend a password generator?
software recommendation,What IRC clients are available?
software recommendation,What tools do you use to monitor a web server?
software recommendation,MySQL GUI Tools
software recommendation,What scientific plotting software is available?
software recommendation,UPNP / DLNA (client) player recommendations?
software recommendation,Password Management Applications?
software recommendation,What developer text editors are available for Ubuntu?
software recommendation,Is there an application for reading mobi files?
software recommendation,What is a good MongoDB GUI client?
software recommendation,What new games are available for Ubuntu in 2011?
shutdown computer,shut down without extra question
shutdown computer,How to shutdown the computer after Xsession ends?
shutdown computer,Shutdown problem in Ubuntu 16.04
shutdown computer,Shutdown after a certain time
shutdown computer,How can one shutdown a PC using the keyboard?
shutdown computer,Are there any Keyboard Shortcuts to Shutdown?
shutdown computer,How to shutdown computer when users are logged on?
shutdown computer,How can I automatically shutdown the system after a specific time?
shutdown computer,How do I fix a shutdown problem?
shutdown computer,Hotkey to shut down from login screen?
shutdown computer,How can I enable shutdown verbosity?
shutdown computer,What is the proper terminal-way to shutdown?
shutdown computer,What graphical utility can I use for Ubuntu auto shutdown?
