Expected Task Name,Utterance,Type of Utterance
apply for loan,Can i get a personal loan to buy a car?,Positive
apply for loan,I need to buy a house for my family,Positive
apply for loan,I want a business loan to start off my new venture,Positive
apply for loan,I need a business loan as early as possible,Positive
apply for loan,Get an approval for a study loan,Positive
apply for loan,Arrange for a loan of 5000 to start our business,Positive
apply for loan,Can i be credited with 10000 for property investment?,Positive
apply for loan,Can I borrow funds for admission fees,Positive
apply for loan,Can you help me get funds in advance for wedding,Positive
None,render an approval for,Negative
apply for loan,Financial assistance is required to buy a new house,Positive
apply for loan,Financial help is needed to buy a new property,Positive
apply for loan,I need money to open a restaurant,Positive
apply for loan,need money on credit immediately,Positive
apply for loan,Apply for a personal loan on my salaried account,Positive
apply for loan,Get money available on credit for payment of insurance bills,Positive
apply for loan,Need to borrow money for personal expenses,Positive
apply for loan,Can you help me arrange funds for clearing my credit card expenses?,Positive
apply for loan,Require financial assistance from bank to start a company,Positive
apply for loan,Need a loan at lowest interest rate,Positive
apply for loan,Require an easy to repay loan,Positive
apply for loan,Mortgage my shop,Positive
apply for loan,Want a guaranteed loan approval for my house renovation,Positive
apply for loan,I need some money urgently. Can I apply for individual loan?,Positive
apply for loan,I want to apply for personal loan for my wedding expenses,Positive
apply for loan,I need 50000 $ as loan,Positive
apply for loan,I need credit of 50K. How do I apply for it?,Positive
apply for loan,I would like to apply for a loan of 50K to pay my College fees,Positive
apply for loan,I have to pay people 40K for my sister's marriage expenses. Can I get loan?,Positive
apply for loan,Can I get a loan of USD3000 from the bank to renovate my house?,Positive
apply for loan,can i borrow some money to take a travel down south,Positive
apply for loan,Can I take some money on credit for 6 months,Positive
apply for loan,how can i get advance money to pay my college registration fee?,Positive
apply for loan,Could you grant me an allowance of 1200 USD,Positive
apply for loan,Can i get some amount beforehand,Positive
apply for loan,I need some aid to set up my business,Positive
apply for loan,What kind of financial aid can you help me with?,Positive
apply for loan,Can you grant me financial aid of 5000 for a car purchase,Positive
apply for loan,Can you faciltate finances for my wedding/admission/college fees,Positive
apply for loan,Hi! I'm planning to purchase a two room flat in central location of the city.So i want to know how can Standard Chartered Bank help me in this.,Positive
apply for loan,Hey! I'm thinking of buying a car but I don't want to use all the money in my account,Positive
apply for loan,Hi. I'm looking out for an easier way to investment in property by taking money from the bank,Positive
apply for loan,Hi Buddy i need you to fix my problem of some shortage of funds that I am facing while working on my new garment showroom,Positive
apply for loan,I gotta get some money to recover my loss to work on my business.,Positive
apply for loan,Hey! I'm all broke buddy! Get me some money to clear my running debts for this month,Positive
None,Who all are eligible to apply for business loan?,Negative
None,What is the rate of interest for personal loan,Negative
None,What is the quickest way to repay for loan,Negative
None,How can I repay my loan in EMI?,Negative
None,Connect me to your executive for loan information,Negative
None,When can I get a loan ?,Negative
None,Is bank ready to offer financial assistance for repaying a loan?,Negative
None,Can we have a loan to repay a loan?,Negative
None,Can we apply for multiple loans?,Negative
None,How can I pay my credits ?,Negative
None,Can a loan be sanctioned to a unemployed?,Negative
None,How many days does it take to get a personal loan?,Negative
None,What is the penalty incurred for inability to repay loan?,Negative
None,what are interest rates for personal loan ?,Negative
None,What kind of personal loans does the bank offer?,Negative
apply for loan,I'm looking for a low-rate loan on EMI for 5yrs,Spell Errors
None,What kind of PL can i get as a coll student?,Spell Errors
apply for loan,I gotta take a PL on my ac asap!!!,Spell Errors
apply for loan,Cant I got loan from the bank fro collage fees,Spell Errors
apply for loan,I need to burrow money,Spell Errors
apply for loan,Please Grantloan,Spell Errors
apply for loan,Grant sum money on llan,Spell Errors
apply for loan,I need some money as loan,Spell Errors
apply for loan,I'd need many from the bank for persnak loan,Spell Errors
apply for loan,Money wanted bank laon asap,Spell Errors
apply for loan,Went some mony on land of Bank,Spell Errors
transfer funds,I want to transfer funds to another acoount,Positive
transfer funds,I have to send money to someone,Positive
transfer funds,Need to shift money to an account,Positive
transfer funds,Can you help me in money Transfer?,Positive
transfer funds,Deposit 5000 USD from my account to xyz account,Positive
transfer funds,Will you send $200 to my alternate account?,Positive
transfer funds,Please transfer money from my account to another,Positive
transfer funds,I wish to deposit money from my account to xyz a/c,Positive
transfer funds,Send money online to my friend's account,Positive
transfer funds,Please help me transfer money to my mother's account,Positive
transfer funds,Can you Transfer money now?,Positive
transfer funds,transfer Rs 5000 from my account,Positive
transfer funds,Send $100 from my account,Positive
transfer funds,Transfer $100 from my account today,Positive
transfer funds,Give X amount from my account to account no. 234,Positive
transfer funds,i want ac no 234 to receive $100 from my account,Positive
transfer funds,Send money from my account to xyz account,Positive
transfer funds,I need to make a payment to my younger brother for a bike purchase,Positive
transfer funds,Can you move 500USD to my wife's account asap?,Positive
transfer funds,Would like to wire money to my international account,Positive
transfer funds,Have to transfer money to a friend on a travel trip,Positive
transfer funds,Can 3000 be remitted to my landlord's account?,Positive
transfer funds,transfer 500 to my Kotak account,Positive
transfer funds,Transfer 50k for my sister's admission fee to her college account,Positive
transfer funds,I need to move part of my finances to another account,Structurally Different
transfer funds,I want to share some money with a separate account,Structurally Different
transfer funds,Have to send funds to an online site for shopping transaction,Structurally Different
transfer funds,Money is required to be transferred from one account to another,Structurally Different
transfer funds,Could you please send a sum of $100 to an agent?,Structurally Different
transfer funds,Can you shift my outstanding balance amount to my new account?,Structurally Different
transfer funds,I need an urgent wire transfer of $100,Structurally Different
transfer funds,Immediately make an online wire transfer of $500,Structurally Different
transfer funds,I want Transfer of funds from India to Germany,Structurally Different
transfer funds,I need transfer of money from savings a/c to foreign a/c,Structurally Different
transfer funds,Fund the transaction through my account,Structurally Different
transfer funds,Transfer $100 today and then send $50 tomorrow to ac no 234,Structurally Different
transfer funds,I have to contribute $100 to xyz to clear my dues in the pool lunch.,Structurally Different
transfer funds,I need to contribute my share of money for the lunch to Girish's account,Structurally Different
transfer funds,Send money in accont to tronsfer,Spell Errors
transfer funds,Find of Transfer with account of 1000,Spell Errors
transfer funds,Sned money rom my account,Spell Errors
transfer funds,Transfr amunt of $100 from my accunt,Spell Errors
transfer funds,Can you transfer money on my behalf,Spell Errors
transfer funds,I want to make a pavement,Spell Errors
transfer funds,Wirr some cash my patents,Spell Errors
transfer funds,Pay 100USD from my acc,Spell Errors
transfer funds,Release the fun to dads account,Spell Errors
transfer funds,Plz provide fund transfer to xyz ac,Spell Errors
transfer funds,Send Asap money frm savng ac,Spell Errors
transfer funds,Wire transfer funds to XYZ Asap!,Spell Errors
transfer funds,Need u to help me transfer USD frm a/c A to a/c B,Spell Errors
transfer funds,Transfer USD 100 frm my ac nw!,Spell Errors
transfer funds,Hi I want to pay back my friend $100 for the pub night,Positive
transfer funds,I want to pay my car EMI through my alternate bank account.Transfer Rs.5000 to ac no 244,Positive
transfer funds,Hey!! Need your help to repay a frn's payment on my movie ticket,Positive
None,Need to update change of address due to location transfer,Negative
None,Do I need to give Identification proof for money transfer?,Negative
None,How can we transfer money?,Negative
None,How much time will it take for transferring money to another account?,Negative
None,Can i send money to my family today,Negative
None,I have to present a cheque of 5000 to e-seva,Negative
None,Grant access for mobile banking,Negative
None,Can i pay for multiple services at a time?,Negative
None,i would like to Request for a new pin for my ATM,Negative
None,Please give 1000 dollars from my account,Negative
None,quickly send 500 usd from my account,Negative
None,apply for job transfer,Negative
None,By what time will the fund transfer be made,Negative
None,Is Pan number Required to transfer fund,Negative
None,Is overseas transfer of money supported.,Negative
None,The file transfer from my computer is complete,Negative
pay a bill,Please make a payment of USD 100 to my Uber account,Positive
pay a bill,Pay 100 to Uber for last ride,Positive
pay a bill,Pay 2000 for anti-virus purchase,Positive
pay a bill,Got to work off my parking fine. Please help.,Positive
pay a bill,Please work off my credit card dues,Positive
pay a bill,Clear my dues for the laundry bill,Positive
pay a bill,Settle my account with the grocery store,Positive
pay a bill,make payment of 400 to credit card statement,Positive
pay a bill,Clear the outstanding bill for credit card,Positive
pay a bill,500 is due for groceries payment,Positive
pay a bill,Give 600 pounds to the travel agent,Positive
pay a bill,I want to make a charity of Rs. 1000,Positive
pay a bill,I want to close my account at the hotel,Positive
pay a bill,Clear my debt on mobile purchase,Positive
pay a bill,Complete my purchase of JBL bluetooth speakers on Amazon,Positive
pay a bill,Clear the bill for ebay,Positive
pay a bill,Pay bill for internet recharge,Positive
pay a bill,Pay my electricity bill,Positive
pay a bill,Pay my house rent,Positive
pay a bill,Pay the hotel tariff,Positive
pay a bill,settle my account with xyz,Structurally Different
pay a bill,Recharge my net connection,Structurally Different
pay a bill,Complete my payment with Amazon,Structurally Different
pay a bill,Finish my transaction with Air BnB,Structurally Different
pay a bill,Process payment for invoice,Structurally Different
pay a bill,square accounts with my friend for last weekend trip,Structurally Different
pay a bill,she needs to get her annual leave entitlement,Structurally Different
pay a bill,The butler expects 200 for this month's service,Structurally Different
