Expected Task Name,Utterance,Type of Utterance,Matched Intent(s) Kore,Status,Kore Total CS score,Kore ML score,Matched Intent(s) API,Status,ScoreApi,Matched Intent(s) Luis,Status,ScoresLuis
Apply for Loan,Can i get a personal loan to buy a car?,Positive,Empty Response qabots,fail,Null,Null,Apply for Loan,pass,0.839999973774,Empty Response,fail,Null
Apply for Loan,I need to buy a house for my family,Positive,Empty Response qabots,fail,Null,Null,Apply for Loan,pass,1.0,Empty Response,fail,Null
Apply for Loan,I want a business loan to start off my new venture,Positive,Empty Response qabots,fail,Null,Null,Apply for Loan,pass,1.0,Empty Response,fail,Null
Apply for Loan,I need a business loan as early as possible,Positive,Empty Response qabots,fail,Null,Null,Apply for Loan,pass,0.959999978542,Empty Response,fail,Null
Apply for Loan,Get an approval for a study loan,Positive,Empty Response qabots,fail,Null,Null,Apply for Loan,pass,1.0,Empty Response,fail,Null
Apply for Loan,Arrange for a loan of 5000 to start our business,Positive,Empty Response qabots,fail,Null,Null,Apply for Loan,pass,1.0,Empty Response,fail,Null
Apply for Loan,Can i be credited with 10000 for property investment?,Positive,Empty Response qabots,fail,Null,Null,Apply for Loan,pass,1.0,Empty Response,fail,Null
Apply for Loan,Can I borrow funds for admission fees,Positive,Empty Response qabots,fail,Null,Null,Apply for Loan,pass,1.0,Empty Response,fail,Null
Apply for Loan,Can you help me get funds in advance for wedding,Positive,Empty Response qabots,fail,Null,Null,Apply for Loan,pass,1.0,Empty Response,fail,Null
Apply for Loan,Render a loan approval for my House EMI ,Positive,Empty Response qabots,fail,Null,Null,Apply for Loan,pass,1.0,Empty Response,fail,Null
Apply for Loan,Financial assistance is required to buy a new house,Positive,Empty Response qabots,fail,Null,Null,Apply for Loan,pass,1.0,Empty Response,fail,Null
Apply for Loan,Financial help is needed to buy a new property,Positive,Empty Response qabots,fail,Null,Null,Apply for Loan,pass,0.639999985695,Empty Response,fail,Null
Apply for Loan,I need money to open a restaurant,Positive,Empty Response qabots,fail,Null,Null,Apply for Loan,pass,1.0,Empty Response,fail,Null
